Date,PriceCut,RegionID,RegionName,SizeRank
2010-09,16.312471377,9,California,1
2010-09,15.063763537,54,Texas,2
2010-09,13.542702528,43,New York,3
2010-09,13.403477496,14,Florida,4
2010-09,17.652363351,21,Illinois,5
2010-09,15.788817034,47,Pennsylvania,6
2010-09,15.071733144,44,Ohio,7
2010-09,14.632595626,30,Michigan,8
2010-09,13.767957057,16,Georgia,9
2010-09,12.773243347,36,North Carolina,10
2010-09,14.559184910,40,New Jersey,11
2010-09,14.945692306,56,Virginia,12
2010-09,17.381061825,59,Washington,13
2010-09,18.595191841,26,Massachusetts,14
2010-09,14.093983945,22,Indiana,15
2010-09,20.334352861,8,Arizona,16
2010-09,14.020042668,53,Tennessee,17
2010-09,16.297860619,32,Missouri,18
2010-09,17.747292419,27,Maryland,19
2010-09,14.617345555,60,Wisconsin,20
2010-09,19.162571616,31,Minnesota,21
2010-09,17.856821926,10,Colorado,22
2010-09,12.752342149,4,Alabama,23
2010-09,12.504492730,51,South Carolina,24
2010-09,11.710096971,25,Louisiana,25
2010-09,14.131133128,24,Kentucky,26
2010-09,17.293714169,46,Oregon,27
2010-09,13.388476538,45,Oklahoma,28
2010-09,16.403068752,11,Connecticut,29
2010-09,14.374026480,19,Iowa,30
2010-09,11.407424148,34,Mississippi,31
2010-09,10.991323769,6,Arkansas,32
2010-09,15.861007822,23,Kansas,33
2010-09,16.343808954,55,Utah,34
2010-09,15.739253953,42,Nevada,35
2010-09,15.153689750,41,New Mexico,36
2010-09,11.242471559,61,West Virginia,37
2010-09,17.048396734,38,Nebraska,38
2010-09,15.680637515,20,Idaho,39
2010-09,11.465153499,18,Hawaii,40
2010-09,12.525361022,28,Maine,41
2010-09,13.788543608,39,New Hampshire,42
2010-09,17.275185936,50,Rhode Island,43
2010-09,11.399176955,35,Montana,44
2010-09,17.246259604,13,Delaware,45
2010-09,13.020214031,52,South Dakota,46
2010-09,18.155619597,3,Alaska,47
2010-09,14.655172414,37,North Dakota,48
2010-09,9.795721409,58,Vermont,49
2010-09,15.900259067,12,District of Columbia,50
2010-09,11.715481172,62,Wyoming,51
2010-10,15.553409648,9,California,1
